Wed Aug 23 16:30:18 EDT 2017      25.28       62.00
Wed Aug 23 16:35:17 EDT 2017      25.28       61.90
Wed Aug 23 16:40:16 EDT 2017      25.28       61.80
Wed Aug 23 16:45:17 EDT 2017      25.39       62.00
Wed Aug 23 16:50:17 EDT 2017      25.39       61.90
Wed Aug 23 16:55:04 EDT 2017      25.39       62.00
Wed Aug 23 17:00:16 EDT 2017      25.39       62.00
Wed Aug 23 17:05:17 EDT 2017      25.51       62.20
Wed Aug 23 17:10:18 EDT 2017      25.51       62.20
Wed Aug 23 17:15:17 EDT 2017      24.89       59.70
Wed Aug 23 17:20:17 EDT 2017      24.89       59.70
Wed Aug 23 17:25:17 EDT 2017      24.75       58.40
Wed Aug 23 17:30:01 EDT 2017      24.63       57.90
Wed Aug 23 17:35:18 EDT 2017     Failed      Failed
Wed Aug 23 17:40:01 EDT 2017      24.38       56.70
Wed Aug 23 17:45:17 EDT 2017     Failed      Failed
Wed Aug 23 17:50:02 EDT 2017      24.24       55.70
Wed Aug 23 17:55:17 EDT 2017      24.13       55.80
Wed Aug 23 18:00:02 EDT 2017      24.12       55.50
Wed Aug 23 18:05:17 EDT 2017      24.01       55.40
Wed Aug 23 18:10:02 EDT 2017      23.99       54.60
Wed Aug 23 18:15:16 EDT 2017      23.87       54.30
Wed Aug 23 18:20:02 EDT 2017      23.87       54.30
Wed Aug 23 18:25:17 EDT 2017      23.76       54.10
Wed Aug 23 18:30:01 EDT 2017      23.64       53.70
Wed Aug 23 18:35:17 EDT 2017      23.63       53.50
Wed Aug 23 18:40:01 EDT 2017      23.52       53.60
Wed Aug 23 18:45:17 EDT 2017     Failed      Failed
Wed Aug 23 18:50:17 EDT 2017      23.52       53.30
Wed Aug 23 18:55:08 EDT 2017      23.40       53.10
Wed Aug 23 19:00:17 EDT 2017      23.40       53.00
Wed Aug 23 19:05:18 EDT 2017      23.28       52.60
Wed Aug 23 19:10:17 EDT 2017      23.17       52.50
Wed Aug 23 19:15:18 EDT 2017      23.17       52.50
Wed Aug 23 19:20:17 EDT 2017      23.05       52.10
Wed Aug 23 19:25:16 EDT 2017      22.94       52.10
Wed Aug 23 19:30:17 EDT 2017     Failed      Failed
Wed Aug 23 19:35:17 EDT 2017      22.82       51.70
Wed Aug 23 19:40:18 EDT 2017     Failed      Failed
Wed Aug 23 19:45:16 EDT 2017     Failed      Failed
Wed Aug 23 19:50:17 EDT 2017      22.48       51.40
Wed Aug 23 19:55:17 EDT 2017      22.48       51.40
Wed Aug 23 20:00:17 EDT 2017      22.49       51.90
Wed Aug 23 20:05:16 EDT 2017      22.91       51.20
Wed Aug 23 20:10:18 EDT 2017     Failed      Failed
Wed Aug 23 20:15:18 EDT 2017     Failed      Failed
Wed Aug 23 20:20:18 EDT 2017      23.63       53.40
Wed Aug 23 20:25:17 EDT 2017      23.67       54.90
Wed Aug 23 20:30:17 EDT 2017     Failed      Failed
Wed Aug 23 20:35:16 EDT 2017      24.09       62.70
Wed Aug 23 20:40:17 EDT 2017      24.03       56.20
Wed Aug 23 20:45:18 EDT 2017      24.06       57.20
Wed Aug 23 20:50:18 EDT 2017     Failed      Failed
Wed Aug 23 20:55:17 EDT 2017      24.09       58.40
Wed Aug 23 21:00:01 EDT 2017      23.79       59.60
Wed Aug 23 21:05:01 EDT 2017      23.99       58.60
Wed Aug 23 21:10:17 EDT 2017      24.01       59.60
Wed Aug 23 21:15:01 EDT 2017      24.08       57.90
Wed Aug 23 21:20:18 EDT 2017      23.97       58.20
Wed Aug 23 21:25:01 EDT 2017      23.95       57.20
Wed Aug 23 21:30:17 EDT 2017     Failed      Failed
Wed Aug 23 21:35:02 EDT 2017      24.12       59.60
Wed Aug 23 21:40:17 EDT 2017     Failed      Failed
Wed Aug 23 21:45:02 EDT 2017      24.06       57.20
